8684256		56		28672		0		1398404008.287468643		1398404008.292674425		1398404008.293572706		1398404008.294151352
8684320		16		8192		0		1398404008.287485466		1398404008.293755414		1398404008.294208591		1398404008.294511300
8684336		136		69632		4		1398404008.294822966		1398404008.296137549		1398404008.296272445		1398404008.297140831
8684480		56		28672		0		1398404008.294856195		1398404008.296321351		1398404008.297179841		1398404008.297718071
8684544		48		24576		0		1398404008.295275414		1398404008.297354008		1398404008.297759581		1398404008.298279738
8684592		104		53248		4		1398404009.512728486		1398404009.514019372		1398404009.517569267		1398404009.518515935
8684704		56		28672		0		1398404009.512791143		1398404009.517695414		1398404009.518555153		1398404009.519044320
8684768		152		77824		0		1398404009.512831611		1398404009.518723070		1398404009.519833591		1398404009.520808330
8684928		56		28672		0		1398404009.518028330		1398404009.520228382		1398404009.520842132		1398404009.521341976
8684992		112		57344		0		1398404009.518085518		1398404009.521024372		1398404009.521376039		1398404009.522220466
8685104		40		20480		4		1398404011.133475934		1398404011.134510153		1398404011.137723435		1398404011.138319997
8685152		56		28672		0		1398404011.133528278		1398404011.137781768		1398404011.138414737		1398404011.138940518
8685216		152		77824		0		1398404011.133596351		1398404011.138533695		1398404011.138973903		1398404011.140056195
8685376		56		28672		0		1398404011.138186351		1398404011.139101091		1398404011.140289841		1398404011.140821976
8685440		152		77824		0		1398404011.138348174		1398404011.140475309		1398404011.140855518		1398404011.141861768
8685600		16		8192		0		1398404011.138368330		1398404011.140964059		1398404011.141896924		1398404011.142196820
4167520		16		8192		5		1398404011.357806872		1398404011.357894112		1398404011.360930934		1398404011.362344892
4167536		8		4096		5		1398404011.362584372		1398404011.362795674		1398404011.362816455		1398404011.363533642
8685616		40		20480		4		1398404012.558061142		1398404012.559127079		1398404012.562215517		1398404012.562812496
8685664		152		77824		0		1398404012.558144371		1398404012.562275464		1398404012.562850673		1398404012.563774527
8685824		48		24576		0		1398404012.558176871		1398404012.562959735		1398404012.563813069		1398404012.564306610
8685872		8		4096		4		1398404012.564590048		1398404012.565355673		1398404012.565387912		1398404012.565657964
8685888		120		61440		0		1398404012.564648173		1398404012.565435360		1398404012.566806037		1398404012.567685777
8686016		88		45056		0		1398404012.564692652		1398404012.566891245		1398404012.567771038		1398404012.568512548
8686112		16		8192		0		1398404012.564708589		1398404012.567933954		1398404012.568859631		1398404012.569164892
8686128		40		20480		4		1398404013.280516194		1398404013.281118694		1398404013.283982964		1398404013.284583225
8686176		56		28672		0		1398404013.280571194		1398404013.284044110		1398404013.284622027		1398404013.285169423
8686240		88		45056		0		1398404013.280609735		1398404013.284732600		1398404013.285242131		1398404013.285882964
8686336		48		24576		0		1398404013.280650100		1398404013.285355100		1398404013.285917860		1398404013.286419214
8686384		8		4096		4		1398404014.700292964		1398404014.701404422		1398404014.704240828		1398404014.704643068
8686400		56		28672		0		1398404014.700351141		1398404014.704301818		1398404014.704679786		1398404014.705211297
8686464		88		45056		0		1398404014.700399734		1398404014.704765776		1398404014.705254682		1398404014.705883432
8686560		56		28672		0		1398404014.700435724		1398404014.705366505		1398404014.705916661		1398404014.706484109
8686624		16		8192		0		1398404014.700455464		1398404014.706049630		1398404014.707787599		1398404014.708109787
8686640		40		20480		0		1398404014.706785776		1398404014.707907339		1398404014.708144787		1398404014.708590568
8686688		88		45056		0		1398404014.706835099		1398404014.708222495		1398404014.708624839		1398404014.709297130
8686784		56		28672		0		1398404014.706864005		1398404014.708723016		1398404014.709330932		1398404014.709858068
8686848		48		24576		0		1398404014.706894161		1398404014.709465568		1398404014.710150464		1398404014.710605412
8686896		8		4096		4		1398404016.026770984		1398404016.028316349		1398404016.032047234		1398404016.032440151
8686912		88		45056		0		1398404016.026837078		1398404016.032105724		1398404016.032478172		1398404016.033145463
8687008		56		28672		0		1398404016.026867651		1398404016.032563380		1398404016.033178745		1398404016.033680359
8687072		56		28672		0		1398404016.026916765		1398404016.033312547		1398404016.035160776		1398404016.035744526
8687136		88		45056		0		1398404016.026936765		1398404016.035284630		1398404016.035782078		1398404016.036448953
8687232		56		28672		0		1398404016.034046036		1398404016.035898640		1398404016.036483067		1398404016.036982598
8687296		56		28672		0		1398404016.034085307		1398404016.036615932		1398404016.037015359		1398404016.037519734
8687360		48		24576		0		1398404016.034114786		1398404016.037124265		1398404016.037552286		1398404016.038041141
51155224		8		4096		5		1398404016.367772912		1398404016.367981558		1398404016.371629734		1398404016.372511088
8687408		40		20480		4		1398404017.655932754		1398404017.657409577		1398404017.661239733		1398404017.661836192
8687456		56		28672		0		1398404017.656002077		1398404017.661300619		1398404017.661900723		1398404017.662427285
8687520		56		28672		0		1398404017.656033848		1398404017.662007806		1398404017.662462910		1398404017.662968015
8687584		32		16384		0		1398404017.656087129		1398404017.662574837		1398404017.663000515		1398404017.663369108
8704000		48		24576		0		1398404017.656112129		1398404017.663110410		1398404017.663400827		1398404017.663895931
8704048		8		4096		4		1398404017.664517025		1398404017.665236556		1398404017.665270254		1398404017.665537129
8704064		56		28672		0		1398404017.664571244		1398404017.665316296		1398404017.666041296		1398404017.666574368
8704128		56		28672		0		1398404017.664601244		1398404017.666122233		1398404017.666608431		1398404017.667106764
8704192		88		45056		0		1398404017.664654212		1398404017.666801139		1398404017.667399160		1398404017.668142077
8704288		16		8192		0		1398404017.664672546		1398404017.667511035		1398404017.668178432		1398404017.668485411
8704304		40		20480		4		1398404019.082936973		1398404019.083933066		1398404019.087553899		1398404019.088152754
8704352		56		28672		0		1398404019.082974369		1398404019.087700984		1398404019.088377859		1398404019.088902754
8704416		88		45056		0		1398404019.083021556		1398404019.088496452		1398404019.088938379		1398404019.089579838
8704512		56		28672		0		1398404019.083062025		1398404019.089060411		1398404019.090170983		1398404019.090701921
8704576		56		28672		0		1398404019.088210932		1398404019.090317181		1398404019.090734577		1398404019.091266504
8704640		88		45056		0		1398404019.088267338		1398404019.090846504		1398404019.091300150		1398404019.091935462
8704736		56		28672		0		1398404019.088310254		1398404019.091418223		1398404019.091968483		1398404019.092544212
8704800		16		8192		0		1398404019.088328588		1398404019.092105306		1398404019.092578483		1398404019.092884733
8704816		8		4096		4		1398404020.514168065		1398404020.515278951		1398404020.518387181		1398404020.518813639
8704832		88		45056		0		1398404020.514241920		1398404020.518464108		1398404020.518865306		1398404020.519623170
8704928		56		28672		0		1398404020.514284732		1398404020.518979524		1398404020.520650462		1398404020.521196503
8704992		56		28672		0		1398404020.514345513		1398404020.520854993		1398404020.522190826		1398404020.522815097
8705056		88		45056		0		1398404020.514372388		1398404020.522356034		1398404020.522864316		1398404020.523574732
8705152		56		28672		0		1398404020.520468743		1398404020.523022180		1398404020.523624316		1398404020.524156347
8705216		56		28672		0		1398404020.520521920		1398404020.523806034		1398404020.524201347		1398404020.524740722
8705280		48		24576		0		1398404020.520562285		1398404020.524349263		1398404020.524787180		1398404020.525303847
8705328		40		20480		4		1398404021.235489003		1398404021.236546190		1398404021.239428483		1398404021.240028691
8705376		56		28672		0		1398404021.235524211		1398404021.239488014		1398404021.240261764		1398404021.240789837
8705440		56		28672		0		1398404021.235562492		1398404021.240374368		1398404021.240828118		1398404021.241332962
8705504		80		40960		0		1398404021.235611242		1398404021.240966191		1398404021.241367024		1398404021.242046920
8705584		8		4096		4		1398404022.866557804		1398404022.867692857		1398404022.870734054		1398404022.871156138
8705600		56		28672		0		1398404022.866610825		1398404022.870794627		1398404022.871197336		1398404022.871732179
8705664		56		28672		0		1398404022.866641658		1398404022.871306919		1398404022.871765565		1398404022.872269888
8705728		88		45056		0		1398404022.866694158		1398404022.871878898		1398404022.872311346		1398404022.873130044
8705824		16		8192		0		1398404022.866713741		1398404022.872423169		1398404022.875198325		1398404022.875503169
8705840		40		20480		0		1398404022.873581971		1398404022.875346554		1398404022.875622283		1398404022.876069575
8705888		56		28672		0		1398404022.873613794		1398404022.875701346		1398404022.876113481		1398404022.876633637
8705952		88		45056		0		1398404022.873661867		1398404022.876211241		1398404022.876666398		1398404022.877305096
